variant_id,path,segment_id,entry_anchor_ms,mid_anchor_ms,exit_anchor_ms,tempo_factor,pitch_semitones,state_suggestion,phase_affinity,calm_final,centroid,rms
seg_0006__tm04__p0,seg_0006__tm04__p0.wav,seg_0006,745,12245,31533,-0.04,0,S3,exhale,0.8969924214887237,1875.7213264802087,0.0219426602125167
seg_0014__tm08__p-1,seg_0014__tm08__p-1.wav,seg_0014,783,8009,11628,-0.08,-1,S3,exhale,0.8942152744873874,955.1159782469,0.006307310424745
seg_0024__tm08__p-1,seg_0024__tm08__p-1.wav,seg_0024,221,8127,11722,-0.08,-1,S3,exhale,0.8939471682905977,1604.0621156550756,0.0129192220047116
seg_0014__t00__p-1,seg_0014__t00__p-1.wav,seg_0014,720,7368,10698,0.0,-1,S3,exhale,0.893463215648626,1001.706620267734,0.0052947127260267
seg_0020__t00__p-1,seg_0020__t00__p-1.wav,seg_0020,301,5803,9387,0.0,-1,S3,exhale,0.8847792316968421,660.8017246886473,0.0047144573181867
seg_0024__tm04__p-1,seg_0024__tm04__p-1.wav,seg_0024,211,7789,11233,-0.04,-1,S3,exhale,0.8755347480810999,1597.002368102365,0.0137230902910232
seg_0006__t00__p0,seg_0006__t00__p0.wav,seg_0006,715,11755,30272,0.0,0,S3,exhale,0.8725303559942111,1826.2326196348463,0.0321344472467899
seg_0014__tm08__p0,seg_0014__tm08__p0.wav,seg_0014,783,8009,11628,-0.08,0,S3,exhale,0.8711562344721724,1128.9924452330106,0.0042117163538932
seg_0014__t00__p0,seg_0014__t00__p0.wav,seg_0014,720,7368,10698,0.0,0,S3,exhale,0.8691865506319225,1036.2375725464983,0.0080447839573025
seg_0024__t00__p-1,seg_0024__t00__p-1.wav,seg_0024,203,7477,10784,0.0,-1,S3,exhale,0.8566685022001963,1609.5938328673203,0.0149547131732106
seg_0024__t00__p0,seg_0024__t00__p0.wav,seg_0024,203,7477,10784,0.0,0,S3,exhale,0.854511416219486,1698.8241625617595,0.0198065917938947
seg_0024__tm04__p0,seg_0024__tm04__p0.wav,seg_0024,211,7789,11233,-0.04,0,S3,exhale,0.8522565431179223,1707.1871363030143,0.0134995328262448
seg_0014__tm04__p0,seg_0014__tm04__p0.wav,seg_0014,750,7675,11144,-0.04,0,S3,exhale,0.8517866992044075,1013.919691923676,0.0058665624819695
seg_0026__tm08__p-1,seg_0026__tm08__p-1.wav,seg_0026,371,6029,11675,-0.08,-1,S3,exhale,0.8353065190109916,1539.9963158188111,0.0235625300556421
seg_0026__tm04__p-1,seg_0026__tm04__p-1.wav,seg_0026,355,5778,11189,-0.04,-1,S3,exhale,0.8332121788845124,1482.4949361647052,0.0232629124075174
seg_0026__t00__p-1,seg_0026__t00__p-1.wav,seg_0026,341,5547,10741,0.0,-1,S3,exhale,0.8274362654741637,1531.937423206513,0.0222091600298881
seg_0009__tm04__p-1,seg_0009__tm04__p-1.wav,seg_0009,1033,10889,23692,-0.04,-1,S3,exhale,0.8203313773062467,1689.6610191504756,0.0129068009555339
seg_0009__t00__p-1,seg_0009__t00__p-1.wav,seg_0009,992,10453,22744,0.0,-1,S3,exhale,0.8173013144390187,1678.5610280370552,0.0130445295944809
seg_0009__tm08__p-1,seg_0009__tm08__p-1.wav,seg_0009,1078,11362,24722,-0.08,-1,S3,exhale,0.8165835757612856,1668.889821314009,0.0135718248784542
seg_0009__tm08__p0,seg_0009__tm08__p0.wav,seg_0009,1078,11362,24722,-0.08,0,S3,exhale,0.8119753860874244,1792.9019076170548,0.0130165396258234
seg_0024__tm08__p0,seg_0024__tm08__p0.wav,seg_0024,221,8127,11722,-0.08,0,S3,exhale,0.8114586914168505,1720.1273587157816,0.014871628023684
seg_0009__tm04__p0,seg_0009__tm04__p0.wav,seg_0009,1033,10889,23692,-0.04,0,S3,exhale,0.8077459872892531,1817.757373218673,0.0130260055884718
seg_0028__tm08__p-1,seg_0028__tm08__p-1.wav,seg_0028,797,6562,10038,-0.08,-1,S3,exhale,0.8044821566474913,1570.7603116921134,0.0095218690112233
seg_0010__tm04__p-1,seg_0010__tm04__p-1.wav,seg_0010,666,6111,13222,-0.04,-1,S3,exhale,0.8033437317034882,1604.249952066508,0.019346809014678
seg_0028__tm04__p-1,seg_0028__tm04__p-1.wav,seg_0028,764,6289,9620,-0.04,-1,S3,exhale,0.798131016906321,1599.6653543231705,0.0083859954029321
seg_0010__tm08__p-1,seg_0010__tm08__p-1.wav,seg_0010,695,6377,13797,-0.08,-1,S3,exhale,0.7971388627481084,1654.5010586318126,0.0190315525978803
seg_0010__tm08__p0,seg_0010__tm08__p0.wav,seg_0010,695,6377,13797,-0.08,0,S3,exhale,0.7849548816392088,1814.3680245277376,0.0185259226709604
seg_0028__t00__p-1,seg_0028__t00__p-1.wav,seg_0028,733,6037,9235,0.0,-1,S3,exhale,0.7842093469621054,1589.713873738235,0.0107443192973732
seg_0010__tm04__p0,seg_0010__tm04__p0.wav,seg_0010,666,6111,13222,-0.04,0,S3,exhale,0.7813355759631004,1783.1853536984431,0.020311914384365
seg_0009__t00__p0,seg_0009__t00__p0.wav,seg_0009,992,10453,22744,0.0,0,S3,exhale,0.7774126904328779,1756.8799693874669,0.0190535224974155
seg_0010__t00__p-1,seg_0010__t00__p-1.wav,seg_0010,639,5867,12693,0.0,-1,S3,exhale,0.7771639044650348,1773.2662391771837,0.0172025877982378
seg_0028__t00__p0,seg_0028__t00__p0.wav,seg_0028,733,6037,9235,0.0,0,S3,exhale,0.7752465792707572,1658.7973863731954,0.0150901963934302
seg_0010__t00__p0,seg_0010__t00__p0.wav,seg_0010,639,5867,12693,0.0,0,S3,exhale,0.7433405131092181,1829.388527243278,0.0270078182220459
seg_0027__t00__p-1,seg_0027__t00__p-1.wav,seg_0027,305,5504,8274,0.0,-1,S3,exhale,0.7365511577003867,1804.324107005361,0.0150482924655079
seg_0027__tm04__p-1,seg_0027__tm04__p-1.wav,seg_0027,318,5733,8619,-0.04,-1,S3,exhale,0.7292568359659805,1862.50907526721,0.0131783578544855
seg_0028__tm04__p0,seg_0028__tm04__p0.wav,seg_0028,764,6289,9620,-0.04,0,S3,exhale,0.7292198663061411,1718.8044151901915,0.0104165906086564
seg_0028__tm08__p0,seg_0028__tm08__p0.wav,seg_0028,797,6562,10038,-0.08,0,S3,exhale,0.7252675225548448,1676.226235702571,0.0101643446832895
seg_0027__tm08__p0,seg_0027__tm08__p0.wav,seg_0027,332,5983,8993,-0.08,0,S3,exhale,0.7153557491632021,1991.53847121276,0.0152001194655895
seg_0027__tm08__p-1,seg_0027__tm08__p-1.wav,seg_0027,332,5983,8993,-0.08,-1,S3,exhale,0.7140846488179879,1924.2112293568416,0.0125122042372822
seg_0027__t00__p0,seg_0027__t00__p0.wav,seg_0027,305,5504,8274,0.0,0,S3,exhale,0.7119666318840148,1926.96886282568,0.0216875821352005
